Time (sec),Mach,CD,Thrust (lb),Weight (lb),Drag (lb),Accel-R (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Vel-R (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Altitude (ft),Distance (ft)
36.84982,0.2922396,0.6359448,0,14.01353,1.515967,-28.6596304623741,-28.65963046237,-0.0000153574199755506,316.482353202413,-316.482353199341,0.00139446116476905,11005.8,0.05933596
36.85982,0.2925008,0.6359887,0,14.01353,1.518991,-28.6527024156749,-28.6527024156708,-0.0000153724124276102,316.768880220162,-316.768880217093,0.00139430744064821,11002.63,0.05934991
36.86982,0.2927619,0.6360324,0,14.01353,1.522018,-28.6457584744033,-28.6457584743992,-0.0000153874190905249,317.055337798499,-317.055337795434,0.00139415356646074,10999.46,0.05936385
36.87982,0.2930229,0.636076,0,14.01353,1.525047,-28.6388125463102,-28.6388125463061,-0.0000154023992265102,317.341725917558,-317.341725914496,0.00139399954247192,10996.29,0.05937779
36.88982,0.2932839,0.6361194,0,14.01353,1.528079,-28.631858670931,-28.6318586709269,-0.0000154173793624955,317.628044497864,-317.628044494806,0.00139384536868174,10993.11,0.05939173
36.89981,0.2935447,0.6361627,0,14.01353,1.531114,-28.6249028087303,-28.6249028087261,-0.0000154323594984808,317.91429351955,-317.914293516495,0.0013936910450902,10989.93,0.05940567
36.90981,0.2938055,0.6362059,0,14.01353,1.534151,-28.617940986065,-28.6179409860608,-0.000015447328265782,318.20047292301,-318.200472919959,0.001393536571811,10986.75,0.0594196
36.91981,0.2940662,0.6362488,0,14.01353,1.537191,-28.6109692292919,-28.6109692292877,-0.0000154622970330833,318.486582608905,-318.486582605857,0.00139338194884413,10983.57,0.05943354
36.92981,0.2943269,0.6362916,0,14.01353,1.540233,-28.6039875384112,-28.603987538407,-0.0000154772496947488,318.772622477893,-318.772622474848,0.00139322717635064,10980.38,0.05944747
36.93981,0.2945875,0.6363343,0,14.01353,1.543279,-28.5970098211735,-28.5970098211693,-0.0000154922089881467,319.058592569709,-319.058592566668,0.00139307225426422,10977.19,0.0594614
36.94981,0.294848,0.6363769,0,14.01353,1.546326,-28.5900162093635,-28.5900162093593,-0.0000155071502811283,319.344492725409,-319.344492722371,0.00139291718276487,10973.99,0.05947533
36.9598,0.2951084,0.6364192,0,14.01353,1.549376,-28.5830305448397,-28.5830305448355,-0.0000155220887319388,319.630323024465,-319.630323021431,0.00139276196188102,10970.8,0.05948926
36.9698,0.2953687,0.6364614,0,14.01353,1.552429,-28.5760309725651,-28.5760309725609,-0.0000155370281301396,319.9160833278,-319.916083324769,0.00139260659160319,10967.6,0.05950319
36.9798,0.295629,0.6365035,0,14.01353,1.555484,-28.5690314002906,-28.5690314002864,-0.0000155519599492178,320.201773635414,-320.201773632386,0.00139245107200717,10964.4,0.05951711
36.9898,0.2958893,0.6365455,0,14.01353,1.558543,-28.5620179202652,-28.562017920261,-0.000015566888926125,320.487393808228,-320.487393805204,0.00139229540312139,10961.19,0.05953104
36.9998,0.2961494,0.6365873,0,14.01353,1.561604,-28.5549925193108,-28.5549925193065,-0.0000155818084291288,320.772943727036,-320.772943724015,0.00139213958504058,10957.98,0.05954496
37.0098,0.2964094,0.6366289,0,14.01353,1.564667,-28.5479790392854,-28.5479790392811,-0.0000155967203530099,321.058423511044,-321.058423508027,0.00139198361784054,10954.77,0.05955888
37.01979,0.2966694,0.6366704,0,14.01353,1.567733,-28.5409496646878,-28.5409496646835,-0.00001561162943472,321.343833001308,-321.343832998294,0.00139182750154968,10951.56,0.0595728
37.02979,0.2969293,0.6367118,0,14.01353,1.570802,-28.533908369161,-28.5339083691567,-0.0000156265394638205,321.629172078619,-321.629172075608,0.00139167123615853,10948.34,0.05958671
37.03979,0.2971891,0.636753,0,14.01353,1.573873,-28.5268690604556,-28.5268690604513,-0.0000156414314925046,321.914440762844,-321.914440759836,0.0013915148218471,10945.12,0.05960063
37.04979,0.2974489,0.636794,0,14.01353,1.576947,-28.5198118703565,-28.5198118703522,-0.0000156563292055307,322.199638875169,-322.199638872165,0.00139135825855854,10941.9,0.05961455
37.05979,0.2977086,0.636835,0,14.01353,1.580024,-28.512760640722,-28.5127606407177,-0.000015671210812921,322.4847664752,-322.484766472199,0.00139120154645391,10938.68,0.05962846
37.06979,0.2979682,0.6368757,0,14.01353,1.583103,-28.505711397909,-28.5057113979047,-0.0000156860914729211,322.769823582804,-322.769823579807,0.00139104468554269,10935.45,0.05964237
37.07978,0.2982278,0.6369164,0,14.01353,1.586185,-28.4986403000591,-28.4986403000548,-0.0000157009702381405,323.054809979432,-323.054809976438,0.00139088767584382,10932.22,0.05965628
37.08978,0.2984872,0.6369569,0,14.01353,1.589269,-28.4915692022091,-28.4915692022048,-0.0000157158385820662,323.339725665083,-323.339725662092,0.00139073051746151,10928.99,0.05967019
37.09978,0.2987466,0.6369972,0,14.01353,1.592355,-28.4845000911808,-28.4845000911765,-0.0000157307002942595,323.624570659625,-323.624570656637,0.00139057321046208,10925.75,0.05968409
37.10978,0.2990059,0.6370375,0,14.01353,1.595445,-28.4774111119371,-28.4774111119327,-0.0000157455582168915,323.909344764375,-323.909344761391,0.00139041575488343,10922.51,0.059698
37.11978,0.2992652,0.6370775,0,14.01353,1.598537,-28.4703221326934,-28.470322132689,-0.0000157604104551815,324.194047979335,-324.194047976354,0.0013902581507824,10919.27,0.0597119
37.12978,0.2995243,0.6371174,0,14.01353,1.601632,-28.4632212325204,-28.463221232516,-0.0000157752598513005,324.478680185295,-324.478680182317,0.00139010039818741,10916.02,0.05972581
37.13977,0.2997834,0.6371573,0,14.01353,1.604729,-28.4561203323475,-28.4561203323431,-0.0000157901016682968,324.763241382254,-324.76324137928,0.00138994249717426,10912.78,0.05973971
37.14977,0.3000425,0.6371969,0,14.01353,1.607828,-28.4490214189961,-28.4490214189917,-0.0000158049302218284,325.047731590082,-325.047731587111,0.00138978444787557,10909.53,0.0597536
